"node","to.node","diameter","X","length","X.1","to.node.1","diameter.1","X.2","length.1","X.3"
"1","1",1,1,1,"1","1",1,1,1,"1"
"2","2",2,2,2,"2","2",2,2,2,"2"
"3","3",3,3,3,"3","3",3,3,3,"3"
"3.1","3.2",NA,NA,NA,"","end",NA,NA,NA,""
"3.2","3.3",NA,NA,NA,"","end",NA,NA,NA,""
"3.5.1","end",10.5,NA,115.6,"","3.5.2",2.65,NA,30.2,""
"3.5.1.2",NA,NA,NA,NA,"","end",NA,NA,NA,""
"3.5.3","3.5.4",10.3,NA,23,"","end",1.87,NA,43.8,"b"
"3.5.4","3.5.5",9,NA,32.2,"","end",5.3,NA,36.4,"b"
"3.5.5","3.5.7",9.5,NA,59.8,"","end",1.58,NA,23.4,""
"3.5.7","3.5.8",7.8,NA,86,"","end",4.09,NA,117.6,"bm"
"3.5.8","end",6.7,NA,310.9,"","3.5.8.1",5.4,NA,NA,""
"3.6","3.7",12.4,NA,109.2,"","end",3.1,NA,154.6,""
"3.6.1","end",NA,NA,NA,"","end",NA,NA,NA,""
"3.7","3.8",9.2,NA,72.2,"","3.7.1",6.2,NA,60.2,""
"3.7.2","3.7.3",4.1,NA,32.4,"","end",1.47,NA,47.8,"b"
"3.7.3.1",NA,1.5,NA,10,"b","end",1.78,NA,64.4,""
"3.7.4","3.7.5",2.35,NA,NA,"","end",2.52,NA,17.8,"b"
"3.8","3.11",8.2,NA,109,"","end",1.92,NA,40.8,""
"3.9","3.11",8.2,NA,19.2,"","end",1.38,NA,54.6,""
"3.11","3.13",6.7,NA,56.4,"","end",4.1,NA,208.5,"b"
"3.13","3.14",5.2,NA,19.6,"","end",3.2,NA,95.6,"b"
"3.14","3.15",4.7,NA,24,"","end",3.5,NA,97.2,"b"
