"","node","to.node","diameter","X","length","X.1","to.node.1","diameter.1","X.2","length.1","b"
"1","3",NA,34.9,NA,NA,NA,"3.1",16,NA,200,NA
"2","3.5","3.6",13.4,NA,76.2,NA,"3.5.1",8.1,NA,60.3,NA
"3","3.5.1","3.5.4",6,NA,84.1,NA,"3.5.1.1",3.4,NA,62.9,NA
"4","3.5.1.*1","end",NA,NA,NA,NA,"end",NA,NA,NA,NA
"5","3.5.1.1","3.5.1.2",2.53,NA,7.8,NA,"end",1.51,NA,63,NA
"6","3.5.1.2","end",2.39,NA,149.9,NA,"end",1.37,NA,40.3,NA
"7","3.5.6","3.5.7",4.8,NA,43.8,NA,"end",3.8,NA,158.5,NA
"8","3.5.10","3.5.11",2.02,NA,31.1,NA,"end",1.43,NA,39.2,NA
"9","3.5.11.1","end",1.25,NA,67.3,NA,"end",1.18,NA,49,NA
"10","3.5.4","3.5.5",5.9,NA,5.9,NA,"end",2.28,NA,92.1,NA
"11","3.5.4.3","end",1.43,NA,55.2,NA,"end",0.78,NA,22.7,NA
"12","3.5.5","3.5.6",4.8,NA,5.9,NA,"end",2.41,NA,109.1,NA
"13","3.5.7.1.4","end",0.89,NA,56.2,NA,"end",0.85,NA,46.1,NA
"14","3.5.7","3.5.9",3,NA,35.2,NA,"3.5.7.1",3.8,NA,38,NA
"15","3.5.7.1.1","end",0.89,NA,123.3,NA,"end",0.87,NA,31,NA
"16","3.5.7.4","3.5.7.5",2.53,NA,10.6,NA,"end",1.32,NA,56.4,NA
"17","3.5.7.5.1","end",1.14,NA,60.4,NA,"end",1.11,NA,44.8,NA
"18","3.5.8.4","end",1.3,NA,56.8,NA,"end",2.11,NA,62.2,NA
