WALNUT2 BRANCH 6,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
6,NA,19.1,,NA,,6.1,17.7,,90.6,
6.1,6.2,16.8,,99.2,,end,2.77,,33.2,
6.11,end,NA,,NA,,end,NA,,NA,
6.2,6.3,11.7,,66.8,,6.2.1,12.7,,124.6,
6.3,6.4,12.3,,10.8,,6.3.1,4.64,,NA,
6.6,6.8,NA,,NA,,end,NA,,NA,
6.8,6.9,NA,,NA,,6.8.1,NA,,NA,
6.9,6.1,NA,,NA,,end,NA,,NA,
6..10,end,NA,,NA,,end,NA,,NA,
6.10.1,6.10.2,NA,,NA,,end,NA,,NA,
6.10.4,end,NA,,NA,,end,NA,,NA,
6.11.1,end,NA,,NA,,end,NA,,NA,
6.2.1,6.2.2,9.4,,63,,6.2.1.1,62,,NA,
6.2.1.7.2,end,NA,,NA,,end,NA,,NA,
6.2.10.1,end,NA,,NA,,end,NA,,NA,
6.2.11,6.2.13,NA,,NA,,6.2.11.1,NA,,NA,
6.2.2,6.2.3,7.7,,41,,6.2.2.1,6.2,,9.4,
6.2.2.2.2,end,2.93,,14.8,b,end,2.28,,41.2,b
6.2.2.3,6.2.2.4,NA,,NA,,end,NA,,NA,
6.2.3,6.2.4,7,,NA,,end,1.36,,9.8,b
6.2.4,6.2.6,NA,,NA,,end,NA,,NA,
6.2.5,6.2.6,NA,,NA,,end,NA,,NA,
6.2.6,6.2.9,NA,,NA,,end,NA,,NA,
6.2.7,6.2.9,NA,,NA,,end,NA,,NA,
6.2.7.1,end,NA,,NA,,end,NA,,NA,
6.2.8,6.2.10,NA,,NA,,end,NA,,NA,
6.2.9,6.2.10,NA,,NA,,end,NA,,NA,
6.2.9.1,6.2.9.2,NA,,NA,,end,NA,,NA,
6.3.1.3,end,NA,,NA,,end,NA,,NA,
6.3.2.2,end,NA,,NA,,end,NA,,NA,
6.3.3,6.3.6,NA,,NA,,end,NA,,NA,
6.3.5,6.3.7,NA,,NA,,end,NA,,NA,
6.3.7,6.3.8,NA,,NA,,end,NA,,NA,
6.4.11.1,end,NA,,NA,,end,NA,,NA,
6.4.14,6.4.15,NA,,NA,,end,NA,,NA,
6.4.14.1.1.1,end,NA,,NA,,end,NA,,NA,
6.4.15.1,end,NA,,NA,,end,NA,,NA,
6.4.2,6.4.5,NA,,NA,,end,NA,,NA,
6.4.3,6.4.4,NA,,NA,,end,NA,,NA,
6.4.6,6.4.7,NA,,NA,,end,NA,,NA,
6.4.6*1.1,end,0.83,,9.6,,end,0.52,,6.6,
6.4.7*3,6.4.9,6.8,,NA,,end,0.97,,36,
6.4.8,end,4.8,,36.8,b,end,3.9,,96.4,
6.4.8.4,6.4.8.5,1.65,,13.6,,end,1.21,,47.4,
6.5.2,end,NA,,NA,,end,NA,,NA,
6.5*2,6.9,NA,,NA,,end,NA,,NA,
6.8.1,end,NA,,NA,,end,NA,,NA,
