"","node","label"
"1","7","both"
"2","7.1","both"
"3","7.1.1","both"
"4","7.1.1*1","both"
"5","7.1.2","both"
"6","7.1.3","both"
"7","7.2","both"
"8","7.3","both"
"9","7.4","both"
"10","7.4","both"
"11","7.4.1","both"
"12","7.4.2","both"
"13","7.4.3","both"
"14","7.4.4","both"
"15","7.4.5","both"
"16","7.5","both"
"17","7.6","both"
"18","point 23","both"
"19","point 24","both"
"20","point 25","both"
"21","point 26","both"
"22","point 27","both"
"23","point 28","both"
"24","point 29","both"
"25","point 30","both"
"26","point 31","both"
"27","point 32","both"
"28","point 33","both"
"29","point 34","both"
"30","point 35","both"
"31","point 36","both"
"32","7.1.4","180228"
"33","7.1.5","180228"
"34","7.1.6","180228"
"35","7.1.7","180228"
"36","7.1.3.1","180228"
"37",NA,"180228"
"38","7.1.2*1","180328"
"39","7.1.2*2","180328"
"40","7.1.3*1","180328"
"41","7.1.3*2","180328"
"42","7.1.3*3","180328"
"43","7.3*1","180328"
"44","7.3*2","180328"
"45","7.4.1.1","180328"
"46","7.4*1","180328"
"47","7.4.4.1","180328"
"48","7.4.5.1","180328"
"49","7.5*1","180328"
"50","7.5*2","180328"
"51",NA,"180328"
